Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Irmeli,Liimatainen,Tukkisillanpolku 7,Pyhäranta,85102,Finland,FI,19610503-5071,+358,+358 096750678,1961-05-03,True
Erik,Magnusson,Bäckstigen 3,Borlänge,73626,Sverige,SE,19430616-2326,+46,08-422 22 52,1943-06-16,True
Gun,Olsson,Ekgränd 72,Örnsköldsvik,99237,Sverige,SE,19550813-2615,+46,08-792 21 76,1955-08-13,True
Göran,Persson,Skolvägen 8,Varberg,88671,Sverige,SE,19480128-2512,+46,08-369 24 07,1948-01-28,True
Stig,Kristiansen,Sandvikskrenten 45H,Sandvik,5012,Norge,NO,19440116-5935,+47,476 20 162,1944-01-16,True
Gert,Andreasson,Bäckvägen 69,Halmstad,86733,Sverige,SE,19601014-3772,+46,026-617 62 47,1960-10-14,True
Emily,Washington,Alyssa Crossing 24579,Jacksonside,13119,Danmark,DK,19581008-2770,+45,(730)950-6035x052,1958-10-08,True
Donald,Johnson,Kelsey Fall 96399,Lawsonfort,76323,Danmark,DK,19881228-2420,+45,777.999.6371x3690,1988-12-28,True
Barbro,Johansson,Parkgatan 722,Luleå,73299,Sverige,SE,19490517-8090,+46,08-602 10 76,1949-05-17,True
Cecilia,Karlsson,Strandvägen 53,Göteborg,54774,Sverige,SE,19450115-4613,+46,020-544 08 40,1945-01-15,True
Birgit,Johansson,Ringtorget 462,Ängelholm,79350,Sverige,SE,19441115-0194,+46,08-595 69 56,1944-11-15,True
Carl,Olsson,Ekvägen 68,Piteå,14211,Sverige,SE,19830810-8486,+46,08-020 492 97,1983-08-10,True
Stein,Tangen,Lundegata 8,Helland,5634,Norge,NO,19530504-6930,+47,64 09 05 11,1953-05-04,True
Kenneth,Kristensen,Ruudhagen 1,Nilsen,2626,Norge,NO,19400615-3149,+47,94722035,1940-06-15,True
Ole,Nguyen,Ødegårdhavna 4D,Mortensjøen,1054,Norge,NO,19910805-4074,+47,53 21 64 91,1991-08-05,True
Helen,Ottosson,Åkerstigen 1,Sundsvall,49666,Sverige,SE,19950819-8550,+46,0878-155 71,1995-08-19,True
Sofia,Lundgren,Aspvägen 536,Västerås,97191,Sverige,SE,19900218-5618,+46,08-203 657 64,1990-02-18,True
Annikki,Parkkinen,Gyldéninbulevardi 81,Kontiolahti,93006,Finland,FI,19980225-098L,+358,092 252 0610,1998-02-25,True
John,Åberg,Furustigen 3,Västerås,69890,Sverige,SE,19480216-7188,+46,+46 (0)884 404 30,1948-02-16,True
Hans,Karlsson,Villastigen 78,Skellefteå,18429,Sverige,SE,19420907-3482,+46,0993-12 92 34,1942-09-07,True
Karin,Thorsen,Knutsenmoen 61,Adrianvær,2770,Norge,NO,19981020-6751,+47,+47 03 09 56 64,1998-10-20,True
Daniel,Næss,Jensenhagen 4,Berntsen,2520,Norge,NO,19890612-8215,+47,92239165,1989-06-12,True
Sören,Strandberg,Storgatan 95,Lidingö,70857,Sverige,SE,19800921-7180,+46,08-591 514 37,1980-09-21,True
Roy,Andersen,Knudsenmyra 2C,Aune,6506,Norge,NO,19640702-1646,+47,64441849,1964-07-02,True
Pia,Bergström,Parkstigen 465,Göteborg,73496,Sverige,SE,19941229-1540,+46,08-177 85 33,1994-12-29,True
Linda,Hall,Shawn Cape 643,Goodmanfort,15704,Danmark,DK,19740306-2995,+45,953-616-0587,1974-03-06,True
Brett,Robles,Bennett Port 65631,East Charles,40288,Danmark,DK,19471120-9122,+45,(581)771-2520x746,1947-11-20,True
Carl,Gustavsson,Furugatan 15,Karlskoga,75676,Sverige,SE,19550115-7580,+46,08-351 09 93,1955-01-15,True
Jan,Fredriksen,Larsenvollen 7,Edvardsen,7313,Norge,NO,19550912-9518,+47,487 63 838,1955-09-12,True
Märta,Svensson,Kyrkotorget 320,Karlskrona,62997,Sverige,SE,19460123-5930,+46,08-69 09 30,1946-01-23,True
Sandra,Sandoval,Wiggins Parks 061,Mcdonaldside,79930,Danmark,DK,19690915-3878,+45,547.326.3638,1969-09-15,True
Jamie,Brooks,Gary Curve 853,Hudsonfurt,80024,Danmark,DK,19651216-8896,+45,(306)379-0972x301,1965-12-16,True
John,Chambers,Johnson Gardens 86061,Kathleenborough,02364,Danmark,DK,19480414-3450,+45,429-236-5480,1948-04-14,True
Sebastian,Abrahamsson,Villastigen 42,Göteborg,75996,Sverige,SE,19401118-6320,+46,0057-117 77,1940-11-18,True
Brandon,Harvey,Jessica Circle 2703,Gibsonberg,14619,Danmark,DK,19970919-6898,+45,001-336-396-6263,1997-09-19,True
Petter,Jenssen,Sandvikvika 6B,Thomassen,2897,Norge,NO,19670123-6921,+47,99193970,1967-01-23,True
Evelina,Jansson,Järnvägsgatan 6,Uddevalla,29851,Sverige,SE,19990314-5547,+46,+46 (0)76 57 93 89,1999-03-14,True
Daniel,Kärkkäinen,Nordenskiöldinpolku 89,Reisjärvi,44337,Finland,FI,19581223-051Y,+358,(+358) 454300086,1958-12-23,True
Richard,Knight,Sharp Ridge 2575,New Michelle,67594,Danmark,DK,19740427-9254,+45,(938)989-4764,1974-04-27,True
Max,Persson,Strandgatan 04,Mölndal,39724,Sverige,SE,19480103-3544,+46,063-23 78 73,1948-01-03,True
Nils,Olsson,Storvägen 3,Lund,73680,Sverige,SE,19780301-0204,+46,023-12 38 48,1978-03-01,True
Sebastian,Jenssen,Solheimløkka 2A,Pedersen,2773,Norge,NO,19811031-6927,+47,99075790,1981-10-31,True
Mary,Carlson,Lindsey Course 49529,Port Christine,99274,Danmark,DK,19660625-0863,+45,379-790-9838,1966-06-25,True
Åse,Karlsen,Sørensenfaret 3,Sebastianstrand,6864,Norge,NO,19830409-6117,+47,82 30 55 81,1983-04-09,True
Mikael,Turunen,Wavulinintie 00,Somero,88723,Finland,FI,19460501-7455,+358,+358 602318979,1946-05-01,True
Bertil,Gunnarsson,Nyvägen 330,Motala,57974,Sverige,SE,19600506-7335,+46,011-224 02 46,1960-05-06,True
Hege,Strøm,Abrahamsenplassen 61,Bjørgnes,6003,Norge,NO,19940813-9161,+47,04446868,1994-08-13,True
Niklas,Ek,Storgränd 7,Östersund,70588,Sverige,SE,19660918-6034,+46,0815-113 77,1966-09-18,True
Eirik,Rønning,Rønningroa 33B,Moe,8132,Norge,NO,19950128-1502,+47,34240388,1995-01-28,True
Lisa,Cook,Lewis Creek 0116,New Heather,49456,Danmark,DK,19650313-4375,+45,(275)414-1744,1965-03-13,True
Marie,Strøm,Sætherringen 01F,Tobiaseid,6998,Norge,NO,19671111-0106,+47,94 91 60 95,1967-11-11,True
Laila,Ahmed,Andersenstykket 8,Holm,4137,Norge,NO,19730320-7433,+47,65 30 64 88,1973-03-20,True
Nicholas,Quinn,Wright Valleys 4483,New Melissatown,42607,Danmark,DK,19460623-7316,+45,(751)333-3430x699,1946-06-23,True
David,Svensson,Industrigränd 8,Kalmar,34786,Sverige,SE,19481015-9159,+46,08-095 299 17,1948-10-15,True
Julia,Eklund,Parkstigen 26,Varberg,99357,Sverige,SE,19601114-6849,+46,08-773 82 39,1960-11-14,True
Maria,Eriksson,Trädgårdsvägen 141,Norrköping,80582,Sverige,SE,19960321-6080,+46,+46 (0)8 849 215 81,1996-03-21,True
Petra,Gunnarsson,Genstigen 32,Sandviken,45118,Sverige,SE,19641002-8386,+46,08-296 367 82,1964-10-02,True
Edit,Holmgren,Stationsvägen 357,Malmö,45707,Sverige,SE,19531006-3409,+46,+46 (0)732 502 42,1953-10-06,True
Rebecca,Mitchell,Dunn Branch 8617,North Joseph,33076,Danmark,DK,19520827-9965,+45,001-434-332-8743x3672,1952-08-27,True
Lars,Helland,Liehøgda 5,Kristiansen,3008,Norge,NO,19550503-5368,+47,99765671,1955-05-03,True
Kyle,Wright,Julie Place 37478,Davidport,50183,Danmark,DK,19760519-3583,+45,415-722-9560x44647,1976-05-19,True
Olavi,Lappalainen,Tuomarinkylänkatu 8,Kustavi,63484,Finland,FI,19721026-536P,+358,(+358) 840504607,1972-10-26,True
Karolina,Karlsson,Strandvägen 50,Örnsköldsvik,11168,Sverige,SE,19921228-1625,+46,021-47 43 25,1992-12-28,False
Eirik,Gulbrandsen,Johnsenstranda 6,Alfstad,6565,Norge,NO,19521225-7838,+47,400 06 673,1952-12-25,True
Martina,Eriksson,Bäckgatan 23,Sundsvall,32637,Sverige,SE,19500713-9098,+46,08-332 26 55,1950-07-13,True
Dana,Chambers,Santiago Garden 40355,Hernandezchester,31901,Danmark,DK,19431213-0378,+45,001-923-731-4525x840,1943-12-13,True
Vilma,Kokko,Haahkakatu 568,Parainen,11217,Finland,FI,19670628-610C,+358,+358790512521,1967-06-28,True
Ariel,Rosario,Ramirez Crest 6113,Mariaton,89594,Danmark,DK,19891229-2444,+45,7337978404,1989-12-29,True
Kjersti,Iversen,Hauggropa 3H,Tangen,3447,Norgel,NO,19970813-8951,+47,48669402,1997-08-13,True
Monica,Blomqvist,Skolgatan 201,Karlskrona,83285,Sverige,SE,19890603-8005,+46,08-861 34 03,1989-06-03,True
Fredrik,Tangen,Eidebråten 68,Kjellnes,1452,Norge,NO,19780324-3420,+47,39 93 65 15,1978-03-24,True
Ingrid,Persson,Kyrkgatan 04,Trelleborg,15786,Sverige,SE,19551203-2911,+46,0090-782 20,1955-12-03,True
Carmen,Brown,Smith Valley 98030,East Franklin,46962,Danmark,DK,19850213-4832,+45,001-257-569-7070x553,1985-02-13,True
Olof,Arvidsson,Ekvägen 7,Norrköping,35401,Sverige,SE,19790903-9108,+46,056-446 70 34,1979-09-03,True
Eva,Gustafsson,Strandvägen 989,Skellefteå,44008,Sverige,SE,19530530-8758,+46,0723-95 96 56,1953-05-30,True
Deborah,Washington,Vicki Grove 822,South Williamtown,08071,Danmark,DK,19940209-4400,+45,9724881027,1994-02-09,True
Maud,Martinsson,Ektorget 8,Södertälje,27582,Sverige,SE,19630619-4707,+46,+46 (0)8 839 280 31,1963-06-19,True
Camilla,Norberg,Fabriksgränd 85,Linköping,13024,Sverige,SE,19600320-9119,+46,+46 (0)074 250 28,1960-03-20,True
Fredrik,Bakken,Antonsenløkka 625,Edvardsen,3403,Norge,NO,19451229-6106,+47,+47 71 06 18 37,1945-12-29,True
Ashley,Collier,Snyder Ports 2205,New Andrewbury,38665,Danmark,DK,19610830-2810,+45,555.421.5810x045,1961-08-30,True
Maria,Persson,Parktorget 6,Mölndal,91953,Sverige,SE,19470304-4882,+46,050-96 02 27,1947-03-04,True
Otto,Jansson,Furugatan 544,Umeå,93522,Sverige,SE,19470125-9636,+46,08-943 561 01,1947-01-25,True
Robin,Perez,Zimmerman Springs 808,Douglasfort,85489,Danmark,DK,19870106-0233,+45,+1-900-812-3565x335,1987-01-06,True
Miranda,Davis,Lindsay Parkways 21462,Zunigaside,80224,Danmark,DK,19871030-3335,+45,837.230.1288x84731,1987-10-30,True
Anders,Larsson,Parkstigen 0,Kristianstad,67461,Sverige,SE,19590405-0692,+46,0788-64 74 81,1959-04-05,True
David,Larsson,Ekvägen 69,Trelleborg,88460,Sverige,SE,19431008-4613,+46,0913-508 25,1943-10-08,True
Gunnar,Helland,Sandvikspranget 4B,Sebastianøy,1404,Norge,NO,19630521-5481,+47,+4777645708,1963-05-21,True
Eva,Johansson,Idrottstorget 2,Trollhättan,51895,Sverige,SE,19971231-5955,+46,024-234 38 14,1997-12-31,True
Henrik,Hallberg,Nygatan 034,Skövde,99710,Sverige,SE,19421216-8754,+46,0333-38 52 24,1942-12-16,True
Martin,Eriksen,Gulbrandsenalléen 4,Greteberg,4847,Norge,NO,19451213-5184,+47,991 42 391,1945-12-13,True
Erik,Eriksson,Strandgränd 27,Mölndal,91142,Sverige,SE,19420616-7573,+46,085-85 22 03,1942-06-16,True
Linnéa,Lundberg,Industrivägen 281,Lidingö,24900,Sverige,SE,19950522-1224,+46,08-080 810 37,1995-05-22,True
Annika,Sundström,Kvarngatan 4,Luleå,17517,Sverige,SE,19620409-5480,+46,+46 (0)798 892 93,1962-04-09,True
Valborg,Gustafsson,Ängsvägen 38,Linköping,36841,Sverige,SE,19760710-9915,+46,054-721 93 41,1976-07-10,True
Kauko,Lehtinen,Bysantinbulevardi 8,Kihniö,53979,Finland,FI,19770508-7682,+358,044 755 8135,1977-05-08,True
Gustaf,Andersson,Kyrkstigen 4,Luleå,13706,Sverige,SE,19670705-8340,+46,0587-42 39 93,1967-07-05,True
Andrea,Wilson,Preston Heights 5103,Taylorshire,27111,Danmark,DK,19900216-5501,+45,001-969-961-9388,1990-02-16,True
Randi,Henriksen,Bakkenringen 24D,Svendsen,9947,Norge,NO,19960729-9922,+47,447 25 260,1996-07-29,True
Ida,Eriksson,Parkvägen 74,Sandviken,37132,Sverige,SE,19410606-7736,+46,0158-20 81 03,1941-06-06,True
Hanna,Engen,Næssjordet 1F,Andresen,0817,Norge,NO,19840825-1147,+47,+4744823590,1984-08-25,True
Karoline,Birkeland,Bakkerøa 165,Grones,2741,Norge,NO,19500923-1572,+47,23 20 84 32,1950-09-23,True
Elisabeth,Andersson,Björktorget 67,Örebro,62636,Sverige,SE,19611213-5313,+46,08-32 22 92,1961-12-13,True
Ingmar,Andersson,Kyrktorget 9,Halmstad,25700,Sverige,SE,19750811-8453,+46,+46 (0)81 78 55 95,1975-08-11,True
Johanna,Forslund,Trädgårdstorget 918,Gävle,80911,Sverige,SE,19470108-6638,+46,050-972 48 24,1947-01-08,True
Iris,Bergström,Aspvägen 025,Linköping,48302,Sverige,SE,19841211-8949,+46,+46 (0)278 062 60,1984-12-11,True
Wilhelm,Sandström,Åkergatan 410,Skellefteå,53129,Sverige,SE,19560504-7712,+46,+46 (0)640 987 13,1956-05-04,True
Lena,Bengtsson,Stationsgränd 77,Trollhättan,65233,Sverige,SE,19451028-8502,+46,+46 (0)8 307 868 58,1945-10-28,True
Sondre,Nilsen,Haugegata 30,Kennethfjord,9110,Norge,NO,19840923-7457,+47,40225800,1984-09-23,True
Sandra,Flores,Joshua Causeway 2609,Watkinsside,85209,Danmark,DK,19691007-2228,+45,(470)464-8096x35445,1969-10-07,True
Claudia,Hester,Erik Island 1902,Kimberlyhaven,71462,Danmark,DK,19720615-8737,+45,630-817-5369x832,1972-06-15,True
Tonje,Nielsen,Paulsengata 4,Sveinø,6275,Norge,NO,19540506-2294,+47,30850897,1954-05-06,True
Stefan,Haglund,Kyrkogränd 443,Karlskoga,43347,Sverige,SE,19641230-1385,+46,054-516 23 78,1964-12-30,True
Janne,Halvorsen,Johansensvingen 52,Johansen,6448,Norge,NO,19481104-4576,+47,917 56 503,1948-11-04,True
Geir,Jørgensen,Hagenberget 8,Holm,0005,Norge,NO,19831123-4393,+47,76 97 66 68,1983-11-23,True
Jonas,Abrahamsen,Jakobsentoppen 5,Lisenes,5475,Norge,NO,19761226-4744,+47,+47 96 56 17 35,1976-12-26,True
Lori,Jones,Johnson Vista 29590,Nathanport,53447,Danmark,DK,19500624-6038,+45,337.490.3037x6969,1950-06-24,True
Karoline,Ahmed,Lundlyngen 81C,Eliseborg,2710,Norge,NO,19530729-4745,+47,67271883,1953-07-29,True
Åke,Nilsson,Parkgränd 305,Västerås,60941,Sverige,SE,19590108-0514,+46,0625-443 19,1959-01-08,True
Veikko,Koskinen,Saparontie 2,Sotkamo,76020,Finland,FI,19800314-151E,+358,0056534235,1980-03-14,True
Matthew,Lopez,Henry Viaduct 8534,Juliaview,16666,Danmark,DK,19800924-1337,+45,836-897-8696,1980-09-24,True
Aud,Holm,Eriksenekra 7,Edvardsen,6627,Norge,NO,19560218-7354,+47,38 68 50 56,1956-02-18,True
Per,Hagen,Kristiansenringen 6,Martefjord,7038,Norge,NO,19610825-7986,+47,421 33 555,1961-08-25,True
Inger,Jensen,Arnesenholtet 090,Amundsen,4358,Norge,NO,19541119-8840,+47,34 44 52 70,1954-11-19,True
Øystein,Ellingsen,Ruudstranda 98,Moen,3671,Norge,NO,19860228-2157,+47,956 66 386,1986-02-28,True
Birgit,Gunnarsson,Åkertorget 5,Växjö,62589,Sverige,SE,20001017-2379,+46,08-57 66 57,2000-10-17,True
Jenny,Svensson,Furutorget 52,Mölndal,75957,Sverige,SE,19541117-9344,+46,+46 (0)802 348 35,1954-11-17,True
Anthony,Wagner,Lori Mall 05458,Pughfurt,48126,Danmark,DK,19420628-9417,+45,(344)581-3533x10418,1942-06-28,True
Maarit,Kokko,Betonikatu 32,Petäjävesi,43352,Finland,FI,19730807-496W,+358,+358 04 9605860,1973-08-07,True
Johan,Ahonen,Ahomäenbulevardi 725,Tyrnävä,19493,Finland,FI,19821116-405H,+358,+358 90 0868216,1982-11-16,True
Lennart,Fredriksson,Björkvägen 21,Jönköping,86621,Sverige,SE,19681018-2700,+46,+46 (0)8 797 477 44,1968-10-18,True
Eric,Miller,Moore Passage 9904,Owensshire,17366,Danmark,DK,19410108-1930,+45,+1-695-287-1362x249,1941-01-08,True
Inga,Holmberg,Nygränd 7,Ängelholm,57258,Sverige,SE,19940821-2666,+46,042-90 20 34,1994-08-21,True
Elisabeth,Evensen,Tveitekra 6,Solveigø,5782,Norge,NO,19880424-1585,+47,35 39 44 29,1988-04-24,True
Olavi,Peltonen,Purjetuulenkatu 1,Pöytyä,14217,Finland,FI,19760201-602L,+358,+358 55 6085578,1976-02-01,True
Grete,Moen,Nielsenholtet 09,Arneberg,9930,Norge,NO,19970516-9384,+47,96834728,1997-05-16,True
Justin,Arroyo,Ruth Lights 6212,Arnoldside,12631,Danmark,DK,19970627-4334,+45,628.643.8279x54487,1997-06-27,True
Kristina,Heath,Roy Turnpike 316,North Robert,58071,Danmark,DK,19990209-1069,+45,001-337-319-3704x345,1999-02-09,True
Siiri,Heikkilä,Wecksellinkatu 403,Kustavi,05681,Finland,FI,19410120-072F,+358,+358 50 2096188,1941-01-20,True
Sven,Sjödin,Skoltorget 3,Lidingö,70981,Sverige,SE,19820201-3310,+46,017-61 58 86,1982-02-01,True
Trond,Thorsen,Hagenstranda 5D,Siljefjell,2609,Norge,NO,19730404-1167,+47,+4770109245,1973-04-04,True
Hege,Olsen,Jakobsenholtet 3,Sisselø,3737,Norge,NO,19470526-3933,+47,49782824,1947-05-26,True
Samuli,Immonen,Haravapolku 52,Janakkala,38332,Finland,FI,19900109-132N,+358,0382672912,1990-01-09,True
Mona,Engström,Bäckstigen 8,Varberg,89622,Sverige,SE,19930222-6807,+46,0577-90 51 59,1993-02-22,True
Tommy,Arnesen,Strandstykket 93,Isaksen,7683,Norge,NO,19571108-4714,+47,29693987,1957-11-08,True
Lennart,Berglund,Kvarntorget 7,Uppsala,67762,Sverige,SE,19880602-0949,+46,+46 (0)85 41 20 49,1988-06-02,False
Josefine,Eklund,Ängsgatan 641,Ängelholm,86269,Sverige,SE,19651207-3006,+46,+46 (0)094 516 32,1965-12-07,True
Karl,Pettersson,Ringvägen 861,Malmö,52718,Sverige,SE,19580911-6780,+46,08-08 29 27,1958-09-11,True
Kim,Ruud,Dahlflata 4,Tveit,9108,Norge,NO,19710524-7277,+47,47831414,1971-05-24,True
Bobby,Romero,Mann Trace 56209,New Robertport,74529,Danmark,DK,19991115-3764,+45,+1-671-207-0800x602,1999-11-15,True
Torill,Aas,Ahmedåsen 73,Andresen,3825,Norge,NO,19460624-4652,+47,+4777696623,1946-06-24,True
Kelsey,Ramirez,Cassie Ramp 9614,New Crystal,89846,Danmark,DK,19941114-5699,+45,001-553-204-4402x9308,1994-11-14,True
Marit,Abrahamsen,Andreassenmarka 46,Hegehelle,0176,Norge,NO,19430403-6949,+47,48620486,1943-04-03,True
Patrick,Sullivan,Marie Lock 2235,Stevenville,89773,Danmark,DK,19820926-3823,+45,001-562-300-8883,1982-09-26,True
Laila,Johansson,Ekvägen 1,Malmö,95661,Sverige,SE,19760818-4045,+46,052-83 71 58,1976-08-18,True
Irmeli,Soininen,Niittylänpolku 682,Ylivieska,91807,Finland,FI,19970513-2803,+358,+358 431138809,1997-05-13,True
Berit,Pettersen,Thomassenskogen 40,Haugen,7760,Norge,NO,19760709-0723,+47,87475581,1976-07-09,True
Markus,Karppinen,Katajaharjunkuja 7,Kurikka,98324,Finland,FI,19891216-724M,+358,+358 64 4188924,1989-12-16,True
Ville,Mäkelä,Maanmittarintie 51,Taivassalo,25942,Finland,FI,19640129-201R,+358,095 343 4045,1964-01-29,True
Emilia,Kuusela,Bengalintie 9,Kuopio,50537,Finland,FI,19520314-0653,+358,(+358) 525132682,1952-03-14,True
Marissa,Obrien,David Alley 427,West Cassandra,16126,Danmark,DK,19531116-2222,+45,001-848-907-3456x54225,1953-11-16,True
John,Jonsson,Stationsstigen 555,Uddevalla,36753,Sverige,SE,19500409-9675,+46,+46 (0)55 00 24 83,1950-04-09,True
Elin,Simonsen,Madsenlyngen 1,Knudsen,4970,Norge,NO,19671211-5683,+47,58 99 13 99,1967-12-11,True
Lauren,Saunders,Choi Common 497,New Lori,95930,Danmark,DK,19490221-4778,+45,382.834.4980,1949-02-21,True
Brittney,Smith,Smith Meadows 709,Lake Amyland,20145,Danmark,DK,19990219-2141,+45,001-486-820-7141x37409,1999-02-19,True
Rune,Bøe,Olsenrøa 832,Berg,4055,Norge,NO,19500823-2438,+47,+4782398694,1950-08-23,True
Lars,Bergström,Aspvägen 82,Stockholm,26252,Sverige,SE,19850911-6803,+46,08-405 504 11,1985-09-11,True
Christian,Dahl,Ellingsengropa 3,Lie,8160,Norge,NO,19890604-3025,+47,494 24 834,1989-06-04,True
Keijo,Manninen,Damaskuksenkuja 6,Brändö,56322,Finland,FI,19480128-8371,+358,+358606240160,1948-01-28,True
Anna,Andersson,Kyrkvägen 5,Gävle,26932,Finland,SE,19680630-5567,+45,+46 (0)65 01 83 58,1968-06-30,True
Curtis,Miles,Kevin Prairie 7296,South Leslie,96101,Danmark,DK,19840107-8418,+45,+1-791-756-8028x18375,1984-01-07,True
Jamie,White,Dale Village 73878,East Caroline,21014,Danmark,DK,19850705-9110,+45,(816)405-9808,1985-07-05,True
Anneli,Hirvonen,Benktantie 3,Kuortane,12494,Finland,FI,19710618-500U,+358,(+358) 456963162,1971-06-18,True
Robert,Woods,Gonzalez Hill 967,East Natalie,84564,Danmark,DK,19680318-5575,+45,8136114779,1968-03-18,True
Bradley,Roy,Thomas Ranch 26494,Johnsonchester,28037,Danmark,DK,19951121-3112,+45,(474)734-0757,1995-11-21,True
Thea,Knutsen,Birkelandbakken 80,Reidunås,8171,Norge,NO,19531231-4459,+47,96250831,1953-12-31,True
Lars,Eriksson,Grangatan 305,Luleå,25497,Sverige,SE,19970410-8317,+46,0936-05 34 95,1997-04-10,True
Sissel,Andersen,Larsenmarka 2,Geirfjell,5800,Norge,NO,19440930-2832,+47,18 05 37 09,1944-09-30,True
Emily,Schneider,Sara Path 139,Jordanside,70077,Danmark,DK,19910521-3352,+45,001-679-812-0906,1991-05-21,True
Lorraine,Baker,Kevin Heights 98082,Port Dennis,99242,Danmark,DK,19770219-3771,+45,660-288-9500,1977-02-19,True
Marjaana,Tuominen,Veräjämäenkatu 8,Alajärvi,83778,Finland,FI,19540911-514V,+358,+358126411957,1954-09-11,True
Jessica,Adolfsson,Storvägen 1,Skellefteå,47397,Sverige,SE,19430827-7744,+46,0945-01 83 28,1943-08-27,True
Bengt,Olsson,Fabriksvägen 886,Umeå,76690,Sverige,SE,19430318-0477,+46,0209-58 16 35,1943-03-18,True
Malin,Hagen,Nguyengata 63,Knudsen,0720,Norge,NO,19801121-2789,+47,40 67 85 03,1980-11-21,True
Elisabet,Hietanen,Damaskuksenpolku 4,Juuka,24257,Finland,FI,20000311-222J,+358,+358 52 9611201,2000-03-11,True
Martina,Karlsson,Industrivägen 45,Karlskrona,90151,Sverige,SE,19841209-0748,+46,+46 (0)78 17 93 77,1984-12-09,True
Dawn,Alexander,Michael Station 9828,Freemanfort,20107,Danmark,DK,19790616-7684,+45,372.347.9618,1979-06-16,True
Travis,Hernandez,George Passage 2994,Port Tina,81961,Danmark,DK,19480611-6578,+45,324.863.2314,1948-06-11,True
Linda,Lindholm,Fabrikstorget 576,Örnsköldsvik,72881,Sverige,SE,19731011-8773,+46,08-089 143 70,1973-10-11,True
Thomas,Stone,Ortiz Isle 5128,South Brandonburgh,51820,Danmark,DK,19730327-3663,+45,281-345-8299,1973-03-27,True
Karl,Johansson,Trädgårdsstigen 7,Umeå,46204,Sverige,SE,19841018-8909,+46,0466-06 34 22,1984-10-18,True
Maria,Karlsson,Åkergränd 0,Trelleborg,21969,Sverige,SE,19900123-5396,+46,0018-89 78 71,1990-01-23,True
Malin,Jenssen,Nguyenflata 12,Sigurdvåg,8847,Norge,NO,19591118-6808,+47,60 49 83 18,1959-11-18,True
Birgitta,Jansson,Kyrkstigen 6,Sundsvall,39080,Sverige,SE,19480827-6674,+46,08-350 192 32,1948-08-27,True
Morten,Nygård,Alibråten 4,Tommyø,1640,Norge,NO,19530324-7653,+47,90019022,1953-03-24,True
Göran,Johansson,Ekstigen 22,Gävle,57005,Sverige,SE,19501120-1692,+46,+46 (0)8 115 152 52,1950-11-20,True
David,Karlsson,Furuvägen 97,Södertälje,79997,Sverige,SE,19481006-7335,+46,0693-135 97,1948-10-06,True
Håvard,Bakke,Lienlunden 2,Espenmark,7420,Norge,NO,19721006-0333,+47,+47 07 81 53 30,1972-10-06,True
Gunnar,Andersson,Trädgårdsgränd 6,Lund,23439,Sverige,SE,19700716-1785,+46,08-41 15 63,1970-07-16,True
Eva,Ivarsson,Stationsvägen 4,Borås,95937,Sverige,SE,19601219-8183,+46,074-542 42 00,1960-12-19,True
Carin,Johansson,Strandtorget 495,Södertälje,51217,Sverige,SE,19400725-7661,+46,08-15 77 51,1940-07-25,True
Stephanie,Schwartz,Samantha Villages 891,Jasontown,66470,Danmark,DK,19640207-0301,+45,811-887-3952,1964-02-07,True
Deborah,Sampson,Jessica Heights 435,Port Thomashaven,27273,Danmark,DK,19490411-6508,+45,+1-233-294-8668x33438,1949-04-11,True
Matilda,Eriksson,Industrivägen 9,Helsingborg,35160,Sverige,SE,19570505-9406,+46,030-148 47 74,1957-05-05,True
Kerstin,Johansson,Furugatan 544,Luleå,78206,Sverige,SE,19820422-9688,+46,08-099 054 51,1982-04-22,True
Kristina,Karlsson,Ringtorget 02,Umeå,28058,Sverige,SE,19850407-8410,+46,+46 (0)501 864 77,1985-04-07,True
Pål,Nguyen,Myhreflata 22D,Sandvik,2232,Norge,NO,19790804-6780,+47,+4732123980,1979-08-04,True
Lilian,Johansson,Backvägen 40,Piteå,65460,Sverige,SE,19810711-5695,+46,+46 (0)35 54 01 95,1981-07-11,True
Heikki,Pasanen,Ilomäentie 68,Kaustinen,75917,Finland,FI,19720928-023N,+358,+358 48 0971624,1972-09-28,True
Sofia,Johansson,Nyvägen 05,Trelleborg,62146,Sverige,SE,19950806-8194,+46,0940-84 19 01,1995-08-06,True
Ingeborg,Hellström,Bäcktorget 6,Varberg,89378,Sverige,SE,19840802-1349,+46,043-452 01 60,1984-08-02,True
Karin,Pettersson,Gengränd 0,Kalmar,78478,Sverige,SE,19660515-7219,+46,08-066 34 53,1966-05-15,True
Christopher,Rodriguez,Washington Wells 9980,Kyleland,11994,Danmark,DK,19651109-5607,+45,949.295.7434x81416,1965-11-09,True
Lina,Johansson,Björkvägen 177,Lidingö,71177,Sverige,SE,19671116-7946,+46,+46 (0)8 405 375 95,1967-11-16,True
Gunnar,Strömberg,Storvägen 113,Göteborg,89836,Sverige,SE,19600515-7712,+46,08-834 26 06,1960-05-15,True
Katarina,Larsson,Ekvägen 24,Skellefteå,75237,Sverige,SE,19780521-4013,+46,08-239 92 16,1978-05-21,True
Frank,Haug,Moekroken 34A,Bakken,7426,Norge,NO,19631219-2321,+47,03 74 50 68,1963-12-19,True
